(object property),,hasTeamCharacteristic,hasTeamCharacteristic,hasTeamCharacteristic,hasTeamCharacteristic,hasTeamCharacteristic,hasTeamCharacteristic,hasTeamCharacteristic,hasTeamCharacteristic,hasTeamCharacteristic,hasProjectCharacteristic,hasProjectCharacteristic,hasProjectCharacteristic,hasProjectCharacteristic,hasProjectCharacteristic,hasProjectCharacteristic,hasProjectCharacteristic,hasProjectCharacteristic,hasProjectCharacteristic,hasProjectCharacteristic,hasInternalEnvironmentCharacteristic,hasInternalEnvironmentCharacteristic,hasInternalEnvironmentCharacteristic,hasInternalEnvironmentCharacteristic,hasInternalEnvironmentCharacteristic,hasInternalEnvironmentCharacteristic,hasInternalEnvironmentCharacteristic,hasInternalEnvironmentCharacteristic,hasInternalEnvironmentCharacteristic,hasInternalEnvironmentCharacteristic,hasInternalEnvironmentCharacteristic,hasInternalEnvironmentCharacteristic,hasInternalEnvironmentCharacteristic,hasInternalEnvironmentCharacteristic,hasInternalEnvironmentCharacteristic,hasExternalEnvironmentCharacteristic,hasExternalEnvironmentCharacteristic,hasExternalEnvironmentCharacteristic,hasExternalEnvironmentCharacteristic,hasExternalEnvironmentCharacteristic,hasExternalEnvironmentCharacteristic,hasExternalEnvironmentCharacteristic,hasExternalEnvironmentCharacteristic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Essentit sin Eugenia,6,2,4,2,5,5,5,5,1,1,3,3,2,0,0,0,1,0,,,1,1,1,1,1,0,0,1,1,1,2,,,,,1,1,1,3,2,1,3,2,Essentit sin Eugenia,,,,,,,,,5,3,,3,,2,2,,5,3,4,,,5,4,,3,,4,,,4,,,,,,,2,,,,,4,,,4,,,1,,2,,,,,4,,,,,,,,,,,,4,,4,,,,5,,,,,,,,3,,3,,,,,,,,Essentit sin Eugenia,,,
Essentit con Eugenia,7,1,5,1,4,5,5,5,5,4,2,2,5,0,0,0,1,1,,,1,1,1,1,0,0,1,1,1,1,5,,,,,2,1,5,5,3,5,5,5,Essentit con Eugenia,,,,,,,,,5,,,2,5,5,4,,2,,,,,5,,,3,,4,,,5,,,,,,,3,,,,,4,,,4,,,,,3,4,,3,3,4,,,,,,,,,,,,4,,4,,,,5,,,,,,,,,4,,,,,,,,,Essentit con Eugenia,,,
Fabrica (Clientes internos),8,1,1,1,3,5,5,5,1,4,1,1,3,0,0,0,1,1,,,0,0,0,0,0,0,0,0,0,1,1,,,,,3,3,3,3,1,1,1,5,Fabrica (Clientes internos),,,,,,,,,,,,,,,,,3,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fabrica (Clientes internos),,,
42Mate,9,2,5,2,4,5,5,5,5,4,3,3,3,0,0,0,0,0,,,1,1,1,1,1,1,1,1,1,1,3,,,,,3,4,2,4,4,1,1,3,42Mate,,,,,,,,,5,4,,4,5,5,4,,5,3,4,4,2,5,4,,3,,4,,5,4,,,,3,,2,2,,,,,4,3,,4,,,,,3,4,4,3,3,3,,,,,,,,,3,,,4,,4,,,,3,,,,,,,,4,,2,,,,,,,,42Mate,,,
Geniar,10,1,1,1,5,5,5,5,5,5,4,2,3,1,1,0,1,1,,,1,1,1,1,0,0,1,0,0,1,4,,,,,4,2,2,4,3,1,1,2,Geniar,,,,,,,,,5,,,3,,,,,5,,,,,5,,,,,4,,,4,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,Geniar,,,
Virtualdmind srl,11,5,2,2,4,5,5,4,5,3,3,3,3,0,0,0,0,1,,,0,1,1,1,0,1,1,1,0,1,4,,,,,2,1,1,2,3,1,1,3,Virtualdmind srl,,,,,,,,,,4,5,,3,4,4,,5,,3,3,,5,5,,,,,,,2,,,,,,,,,,,,2,3,,,2,,,,,2,1,3,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,Virtualdmind srl,,,
Encuesta1,12,5,5,,5,5,5,4,3,2,3,3,3,0,0,0,0,0,,,0,1,0,0,0,0,1,1,0,1,3,,,,,1,2,2,2,3,1,3,2,Encuesta1,,,,,,,,,,5,,3,,,,,5,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,3,3,,,,,Encuesta1,,,
Encuesta2,13,5,5,,3,3,3,4,2,3,2,2,2,0,0,0,0,0,,,1,0,1,1,0,1,1,0,0,1,2,,,,,1,1,1,1,3,1,1,1,Encuesta2,,,,,,,,,3,,,,3,3,,,4,3,3,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3,,,,Encuesta2,,,
Encuesta3,14,3,1,,5,5,5,5,4,5,3,3,3,0,0,0,0,0,,,0,1,1,1,0,1,0,1,0,1,5,,,,,1,2,2,2,2,1,2,4,Encuesta3,,,,,,,,,,4,,3,4,3,,,4,,,4,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,,4,,,4,,,Encuesta3,,,
Encuesta4,15,5,1,,5,5,5,5,5,5,3,2,2,1,1,0,1,1,,,1,1,1,1,0,1,0,1,0,1,3,,,,,1,3,3,3,3,1,3,3,Encuesta4,,,,,,,,4,,4,,4,4,,,,,,4,4,,3,,,,,,4,3,4,,,,,,,,,,,,,,,,,,3,3,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,4,,,,,,,Encuesta4,,,
